"Current-Dollar and ""Real"" Gross Domestic Product",,,,,,,7/30/15,
,,,,,,,,
Annual,,,,Quarterly,,,,
,,,,  (Seasonally adjusted annual rates),,,,
,,,,,,,,
,GDP in billions of current dollars,GDP in billions of chained 2009 dollars,,,GDP in billions of current dollars,GDP in billions of chained 2009 dollars,,
,,,,,,,,
,,,,,,,,
1929,104.6,"1,056.6",,1947q1,243.1,"1,934.5",,
1930,92.2,966.7,,1947q2,246.3,"1,932.3",,
1931,77.4,904.8,,1947q3,250.1,"1,930.3",,
1932,59.5,788.2,,1947q4,260.3,"1,960.7",,
1933,57.2,778.3,,1948q1,266.2,"1,989.5",,
1934,66.8,862.2,,1948q2,272.9,"2,021.9",,
1935,74.3,939.0,,1948q3,279.5,"2,033.2",,
1936,84.9,"1,060.5",,1948q4,280.7,"2,035.3",,
1937,93.0,"1,114.6",,1949q1,275.4,"2,007.5",,
1938,87.4,"1,077.7",,1949q2,271.7,"2,000.8",,
1939,93.5,"1,163.6",,1949q3,273.3,"2,022.8",,
1940,102.9,"1,266.1",,1949q4,271.0,"2,004.7",,
1941,129.4,"1,490.3",,1950q1,281.2,"2,084.6",,
1942,166.0,"1,771.8",,1950q2,290.7,"2,147.6",,
1943,203.1,"2,073.7",,1950q3,308.5,"2,230.4",,
1944,224.6,"2,239.4",,1950q4,320.3,"2,273.4",,
1945,228.2,"2,217.8",,1951q1,336.4,"2,304.5",,
1946,227.8,"1,960.9",,1951q2,344.5,"2,344.5",,
1947,249.9,"1,939.4",,1951q3,351.8,"2,392.8",,
1948,274.8,"2,020.0",,1951q4,356.6,"2,398.1",,
1949,272.8,"2,008.9",,1952q1,360.2,"2,423.5",,
1950,300.2,"2,184.0",,1952q2,361.4,"2,428.5",,
1951,347.3,"2,360.0",,1952q3,368.1,"2,446.1",,
1952,367.7,"2,456.1",,1952q4,381.2,"2,526.4",,
1953,389.7,"2,571.4",,1953q1,388.5,"2,573.4",,
1954,391.1,"2,556.9",,1953q2,392.3,"2,593.5",,
1955,426.2,"2,739.0",,1953q3,391.7,"2,578.9",,
1956,450.1,"2,797.4",,1953q4,386.5,"2,539.8",,
1957,474.9,"2,856.3",,1954q1,385.9,"2,528.0",,
1958,482.0,"2,835.3",,1954q2,386.7,"2,530.7",,
1959,522.5,"3,031.0",,1954q3,391.6,"2,559.4",,
1960,543.3,"3,108.7",,1954q4,400.3,"2,609.3",,
1961,563.3,"3,188.1",,1955q1,413.8,"2,683.8",,
1962,605.1,"3,383.1",,1955q2,422.2,"2,727.5",,
1963,638.6,"3,530.4",,1955q3,430.9,"2,764.1",,
1964,685.8,"3,734.0",,1955q4,437.8,"2,780.8",,
1965,743.7,"3,976.7",,1956q1,440.5,"2,770.0",,
1966,815.0,"4,238.9",,1956q2,446.8,"2,792.9",,
1967,861.7,"4,355.2",,1956q3,452.0,"2,790.6",,
1968,942.5,"4,569.0",,1956q4,461.3,"2,836.2",,
1969,"1,019.9","4,712.5",,1957q1,470.6,"2,854.5",,
1970,"1,075.9","4,722.0",,1957q2,472.8,"2,848.2",,
