Transaction Date,Publication Date,Composite 6,,Composite 11,,BC_Victoria,,BC_Vancouver,,AB_Calgary,,AB_EDMONTON,,MB_Winnipeg,,ON_Hamilton,,ON_Toronto,,_Ottawa_Gatineau,,QC_Montreal,,QC_Québec,,NS_Halifax,
 ,,Index   ,Sales Pair Count,Index   ,Sales Pair Count,Index   ,Sales Pair Count,Index   ,Sales Pair Count,Index   ,Sales Pair Count,Index   ,Sales Pair Count,Index   ,Sales Pair Count,Index   ,Sales Pair Count,Index   ,Sales Pair Count,Index   ,Sales Pair Count,Index   ,Sales Pair Count,Index   ,Sales Pair Count,Index    ,Sales Pair Count
,,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
,,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
Jul-1990,Oct-2008,0.000,0,0.000,0,45.970,198,55.360,1189,0.000,0,0.000,0,62.650,792,0.000,0,0.000,0,0.000,0,59.130,1654,61.710,261,57.040,221
Aug-1990,Oct-2008,0.000,0,0.000,0,46.190,267,54.670,1586,0.000,0,0.000,0,62.560,809,0.000,0,0.000,0,0.000,0,58.820,1098,61.790,180,56.980,223
Sep-1990,Oct-2008,0.000,0,0.000,0,46.300,210,54.480,1405,0.000,0,0.000,0,62.190,638,0.000,0,0.000,0,0.000,0,58.500,789,61.810,122,56.860,139
Oct-1990,Oct-2008,0.000,0,0.000,0,45.850,219,54.210,1483,0.000,0,0.000,0,61.710,578,0.000,0,0.000,0,0.000,0,57.780,928,62.420,160,56.300,110
Nov-1990,Oct-2008,0.000,0,0.000,0,45.910,277,55.410,1833,0.000,0,0.000,0,61.140,483,0.000,0,0.000,0,0.000,0,57.480,1054,62.550,151,55.930,129
Dec-1990,Oct-2008,0.000,0,0.000,0,45.610,223,54.900,1887,0.000,0,0.000,0,60.910,452,0.000,0,0.000,0,0.000,0,57.500,832,62.710,75,55.460,107
Jan-1991,Oct-2008,0.000,0,0.000,0,45.790,98,54.370,636,0.000,0,0.000,0,60.680,277,0.000,0,0.000,0,0.000,0,57.520,701,61.790,86,56.150,88
Feb-1991,Oct-2008,0.000,0,0.000,0,46.010,158,52.600,1003,0.000,0,0.000,0,60.960,229,0.000,0,0.000,0,0.000,0,57.410,650,61.650,92,55.760,54
Mar-1991,Oct-2008,0.000,0,0.000,0,46.190,287,53.070,2114,0.000,0,0.000,0,60.940,320,0.000,0,0.000,0,0.000,0,57.670,976,61.440,179,56.290,83
Apr-1991,Oct-2008,0.000,0,0.000,0,46.940,333,54.050,2945,0.000,0,0.000,0,61.250,438,0.000,0,0.000,0,0.000,0,58.230,1167,62.110,204,56.140,99
May-1991,Oct-2008,0.000,0,0.000,0,47.580,486,55.020,3322,0.000,0,0.000,0,61.210,487,0.000,0,0.000,0,0.000,0,58.770,2376,62.160,539,56.770,152
Jun-1991,Oct-2008,0.000,0,0.000,0,48.640,437,55.810,3116,0.000,0,0.000,0,61.480,590,0.000,0,0.000,0,0.000,0,58.600,4002,62.370,871,56.910,184
Jul-1991,Oct-2008,0.000,0,0.000,0,49.560,423,56.600,2755,0.000,0,0.000,0,61.720,872,0.000,0,0.000,0,0.000,0,58.480,1500,62.490,347,57.440,346
Aug-1991,Oct-2008,0.000,0,0.000,0,50.080,407,57.330,2536,0.000,0,0.000,0,61.880,801,0.000,0,0.000,0,0.000,0,57.900,1301,62.050,301,57.670,300
Sep-1991,Oct-2008,0.000,0,0.000,0,50.550,330,57.870,1903,0.000,0,0.000,0,61.910,625,0.000,0,0.000,0,0.000,0,57.720,1138,62.140,198,57.320,160
Oct-1991,Oct-2008,0.000,0,0.000,0,51.000,300,57.810,2223,0.000,0,0.000,0,61.570,524,0.000,0,0.000,0,0.000,0,57.830,1166,61.650,230,56.650,127
Nov-1991,Oct-2008,0.000,0,0.000,0,51.900,384,57.940,2186,0.000,0,0.000,0,61.150,392,0.000,0,0.000,0,0.000,0,58.030,1227,62.250,232,56.820,118
Dec-1991,Oct-2008,0.000,0,0.000,0,52.570,298,58.250,1636,0.000,0,0.000,0,61.700,335,0.000,0,0.000,0,0.000,0,57.790,1917,62.340,265,57.170,106
Jan-1992,Oct-2008,0.000,0,0.000,0,53.310,308,58.820,1981,0.000,0,0.000,0,61.390,263,0.000,0,0.000,0,0.000,0,57.490,534,62.930,94,57.490,123
Feb-1992,Oct-2008,0.000,0,0.000,0,53.600,293,59.310,2105,0.000,0,0.000,0,61.540,236,0.000,0,0.000,0,0.000,0,57.700,755,62.910,156,57.250,63
Mar-1992,Oct-2008,0.000,0,0.000,0,54.100,352,59.770,3081,0.000,0,0.000,0,60.820,371,0.000,0,0.000,0,0.000,0,58.210,1956,63.050,287,57.140,94
Apr-1992,Oct-2008,0.000,0,0.000,0,54.380,465,60.470,3726,0.000,0,0.000,0,61.270,546,0.000,0,0.000,0,0.000,0,58.520,1711,63.370,272,57.200,132
May-1992,Oct-2008,0.000,0,0.000,0,54.810,401,60.990,3171,0.000,0,0.000,0,61.650,597,0.000,0,0.000,0,0.000,0,58.390,2333,63.740,571,57.630,194
Jun-1992,Oct-2008,0.000,0,0.000,0,54.910,492,61.500,3107,0.000,0,0.000,0,62.080,808,0.000,0,0.000,0,0.000,0,58.150,4913,64.070,1239,58.260,176
Jul-1992,Oct-2008,0.000,0,0.000,0,55.380,438,61.830,2961,0.000,0,0.000,0,62.530,971,0.000,0,0.000,0,0.000,0,57.550,1192,64.060,396,58.590,420
Aug-1992,Oct-2008,0.000,0,0.000,0,55.670,430,62.340,2806,0.000,0,0.000,0,62.750,883,0.000,0,0.000,0,0.000,0,57.290,1107,63.610,306,58.750,283
Sep-1992,Oct-2008,0.000,0,0.000,0,56.290,436,62.720,3117,0.000,0,0.000,0,62.750,874,0.000,0,0.000,0,0.000,0,57.150,1174,63.370,251,58.960,135
Oct-1992,Oct-2008,0.000,0,0.000,0,56.550,465,63.370,3455,0.000,0,0.000,0,62.750,640,0.000,0,0.000,0,0.000,0,57.130,1164,63.080,311,59.050,100
Nov-1992,Oct-2008,0.000,0,0.000,0,57.140,491,63.940,4097,0.000,0,0.000,0,62.560,661,0.000,0,0.000,0,0.000,0,57.170,1321,63.220,262,58.890,80
Dec-1992,Oct-2008,0.000,0,0.000,0,57.690,278,64.590,1971,0.000,0,0.000,0,62.400,506,0.000,0,0.000,0,0.000,0,56.670,1337,63.330,280,58.290,84
Jan-1993,Oct-2008,0.000,0,0.000,0,57.910,242,65.140,1831,0.000,0,0.000,0,62.430,262,0.000,0,0.000,0,0.000,0,57.010,626,63.620,126,58.520,77
Feb-1993,Oct-2008,0.000,0,0.000,0,58.380,262,65.550,1661,0.000,0,0.000,0,62.440,226,0.000,0,0.000,0,0.000,0,56.930,683,63.480,128,58.910,103
Mar-1993,Oct-2008,0.000,0,0.000,0,58.570,349,66.230,2769,0.000,0,0.000,0,62.550,333,0.000,0,0.000,0,0.000,0,57.470,1127,63.260,195,59.290,145
Apr-1993,Oct-2008,0.000,0,0.000,0,59.510,382,66.940,3389,0.000,0,0.000,0,62.370,447,0.000,0,0.000,0,0.000,0,57.560,1620,62.970,295,59.560,187
May-1993,Oct-2008,0.000,0,0.000,0,60.020,467,67.430,3286,0.000,0,0.000,0,62.720,500,0.000,0,0.000,0,0.000,0,57.900,2272,63.630,522,59.230,275
Jun-1993,Oct-2008,0.000,0,0.000,0,60.580,506,67.890,3985,0.000,0,0.000,0,63.050,842,0.000,0,0.000,0,0.000,0,58.040,4751,64.030,1187,59.400,154
Jul-1993,Oct-2008,0.000,0,0.000,0,60.430,472,67.980,3215,0.000,0,0.000,0,63.460,935,0.000,0,0.000,0,0.000,0,57.810,1659,64.460,464,59.580,263
Aug-1993,Oct-2008,0.000,0,0.000,0,60.000,452,68.370,2968,0.000,0,0.000,0,63.530,1018,0.000,0,0.000,0,0.000,0,57.260,1210,63.900,321,60.070,266
Sep-1993,Oct-2008,0.000,0,0.000,0,59.940,356,68.430,2796,0.000,0,0.000,0,63.560,757,0.000,0,0.000,0,0.000,0,56.940,1199,63.620,230,60.170,255
Oct-1993,Oct-2008,0.000,0,0.000,0,60.210,337,68.500,2663,0.000,0,0.000,0,63.300,662,0.000,0,0.000,0,0.000,0,56.780,1093,63.180,236,60.090,193
Nov-1993,Oct-2008,0.000,0,0.000,0,60.420,391,68.550,2723,0.000,0,0.000,0,62.970,658,0.000,0,0.000,0,0.000,0,57.040,1206,63.270,242,59.860,151
Dec-1993,Oct-2008,0.000,0,0.000,0,60.530,297,68.630,2076,0.000,0,0.000,0,62.960,417,0.000,0,0.000,0,0.000,0,57.150,1135,62.850,223,59.880,211
Jan-1994,Oct-2008,0.000,0,0.000,0,61.100,332,68.800,2648,0.000,0,0.000,0,62.890,395,0.000,0,0.000,0,0.000,0,57.650,517,62.460,86,59.590,47
Feb-1994,Oct-2008,0.000,0,0.000,0,61.660,411,69.180,2561,0.000,0,0.000,0,63.240,341,0.000,0,0.000,0,0.000,0,57.870,927,61.940,179,59.800,98
Mar-1994,Oct-2008,0.000,0,0.000,0,62.400,492,69.640,3820,0.000,0,0.000,0,63.350,555,0.000,0,0.000,0,0.000,0,58.310,1517,62.710,232,59.640,118
Apr-1994,Oct-2008,0.000,0,0.000,0,62.460,541,70.050,4545,0.000,0,0.000,0,63.740,681,0.000,0,0.000,0,0.000,0,58.450,1778,63.500,333,60.040,123
May-1994,Oct-2008,0.000,0,0.000,0,62.540,533,70.290,5204,0.000,0,0.000,0,63.970,963,0.000,0,0.000,0,0.000,0,58.610,3158,64.430,669,60.370,186
Jun-1994,Oct-2008,0.000,0,0.000,0,62.440,385,70.450,3447,0.000,0,0.000,0,64.080,1085,0.000,0,0.000,0,0.000,0,58.240,5609,64.150,1295,61.020,389
Jul-1994,Oct-2008,0.000,0,0.000,0,62.310,364,70.600,2687,0.000,0,0.000,0,64.220,874,0.000,0,0.000,0,0.000,0,57.850,1788,64.180,430,60.970,266
Aug-1994,Oct-2008,0.000,0,0.000,0,62.500,365,70.710,2871,0.000,0,0.000,0,64.100,1204,0.000,0,0.000,0,0.000,0,57.250,1113,63.710,298,61.270,297
Sep-1994,Oct-2008,0.000,0,0.000,0,62.170,349,70.720,2326,0.000,0,0.000,0,64.020,913,0.000,0,0.000,0,0.000,0,57.080,955,62.800,336,61.160,246
Oct-1994,Oct-2008,0.000,0,0.000,0,62.060,317,71.030,2489,0.000,0,0.000,0,63.750,731,0.000,0,0.000,0,0.000,0,56.620,933,62.320,211,60.760,140
Nov-1994,Oct-2008,0.000,0,0.000,0,61.290,323,70.950,2873,0.000,0,0.000,0,63.570,615,0.000,0,0.000,0,0.000,0,56.560,1039,61.890,222,60.110,116
Dec-1994,Oct-2008,0.000,0,0.000,0,61.670,260,71.130,2071,0.000,0,0.000,0,63.380,448,0.000,0,0.000,0,0.000,0,56.250,1143,62.610,213,59.760,189
Jan-1995,Oct-2008,0.000,0,0.000,0,61.490,317,70.910,2566,0.000,0,0.000,0,63.140,326,0.000,0,0.000,0,0.000,0,56.410,669,62.200,140,60.140,63
Feb-1995,Oct-2008,0.000,0,0.000,0,61.680,224,70.960,2047,0.000,0,0.000,0,63.210,347,0.000,0,0.000,0,0.000,0,56.410,868,62.270,145,60.080,93
Mar-1995,Oct-2008,0.000,0,0.000,0,60.790,219,70.920,2125,0.000,0,0.000,0,63.030,478,0.000,0,0.000,0,0.000,0,56.820,1137,62.000,227,60.080,123
Apr-1995,Oct-2008,0.000,0,0.000,0,60.430,200,70.900,1962,0.000,0,0.000,0,63.350,479,0.000,0,0.000,0,0.000,0,56.990,1176,62.350,220,60.290,82
May-1995,Oct-2008,0.000,0,0.000,0,59.930,263,70.700,2371,0.000,0,0.000,0,63.330,700,0.000,0,0.000,0,0.000,0,57.330,2520,63.040,536,60.560,129
Jun-1995,Oct-2008,0.000,0,0.000,0,59.980,325,70.420,2753,0.000,0,0.000,0,63.660,882,0.000,0,0.000,0,0.000,0,57.200,3929,63.380,1030,60.910,265
Jul-1995,Oct-2008,0.000,0,0.000,0,59.850,396,70.020,2540,0.000,0,0.000,0,63.620,911,0.000,0,0.000,0,0.000,0,56.930,1400,63.260,418,60.780,377
Aug-1995,Oct-2008,0.000,0,0.000,0,60.200,434,70.050,3159,0.000,0,0.000,0,63.600,1159,0.000,0,0.000,0,0.000,0,56.370,1111,62.620,283,60.820,548
Sep-1995,Oct-2008,0.000,0,0.000,0,59.870,444,69.980,2855,0.000,0,0.000,0,63.540,805,0.000,0,0.000,0,0.000,0,56.020,1074,62.500,250,60.550,201
Oct-1995,Oct-2008,0.000,0,0.000,0,59.530,365,69.920,2517,0.000,0,0.000,0,63.410,781,0.000,0,0.000,0,0.000,0,55.750,1009,62.300,272,60.290,134
Nov-1995,Oct-2008,0.000,0,0.000,0,60.190,307,69.910,2667,0.000,0,0.000,0,63.280,615,0.000,0,0.000,0,0.000,0,55.720,1031,61.980,237,59.290,179
Dec-1995,Oct-2008,0.000,0,0.000,0,60.290,296,69.640,2131,0.000,0,0.000,0,62.930,418,0.000,0,0.000,0,0.000,0,55.620,1020,61.830,261,59.050,114
Jan-1996,Oct-2008,0.000,0,0.000,0,60.470,269,69.520,2089,0.000,0,0.000,0,62.840,305,0.000,0,0.000,0,0.000,0,55.570,771,61.770,150,59.060,105
Feb-1996,Oct-2008,0.000,0,0.000,0,59.650,316,69.330,2153,0.000,0,0.000,0,62.820,287,0.000,0,0.000,0,0.000,0,55.640,856,62.250,191,59.940,142
Mar-1996,Oct-2008,0.000,0,0.000,0,59.870,373,69.510,2946,0.000,0,0.000,0,63.110,377,0.000,0,0.000,0,0.000,0,55.810,1113,61.930,244,60.620,177
